step	accuracy
0	0.3142857253551483
1	0.4285714328289032
2	0.5809524059295654
3	0.561904788017273
4	0.6380952596664429
5	0.6476190686225891
6	0.6095238327980042
7	0.7047619223594666
8	0.6952381134033203
9	0.7333333492279053
10	0.6666666865348816
11	0.7142857313156128
12	0.7904762029647827
13	0.8571428656578064
14	0.761904776096344
15	0.8095238208770752
16	0.8095238208770752
17	0.800000011920929
18	0.8285714387893677
19	0.8095238208770752
20	0.8476190567016602
21	0.8952381014823914
22	0.9047619104385376
23	0.9047619104385376
24	0.8761904835700989
25	0.7904762029647827
26	0.8857142925262451
27	0.8476190567016602
28	0.8380952477455139
29	0.9238095283508301
