step	loss
0	3.8845443725585938
1	1.5966161489486694
2	1.4670968055725098
3	1.5091227293014526
4	0.7562793493270874
5	0.8135579228401184
6	0.7433165311813354
7	0.9115431308746338
8	0.8808748722076416
9	1.0571495294570923
10	0.7935591340065002
11	0.5493361949920654
12	0.49574705958366394
13	0.5158003568649292
14	0.44825857877731323
15	0.37071287631988525
16	0.3485088050365448
17	0.3013896644115448
18	0.338828444480896
19	0.3487684726715088
20	0.38788700103759766
21	0.5614402294158936
22	0.44069021940231323
23	0.38619598746299744
24	0.3590798079967499
25	0.2857058644294739
26	0.3478599786758423
27	0.3021182417869568
28	0.3133050799369812
29	0.35058796405792236
30	0.2302323430776596
31	0.32406866550445557
32	0.22498470544815063
33	0.2394828051328659
34	0.20353516936302185
35	0.17885197699069977
36	0.17577700316905975
37	0.16126541793346405
38	0.12722235918045044
39	0.15057982504367828
40	0.14116376638412476
41	0.17541034519672394
42	0.15073204040527344
43	0.11483827233314514
44	0.12410382181406021
45	0.14451605081558228
46	0.26292625069618225
47	0.28130972385406494
48	0.9969365000724792
49	0.512387752532959
